,ADULTO,NU_IDADE,NOTA_TOTAL,TP_COR_RACA_DESC,TP_LINGUA_DESC,Q024_DESC,Q025_DESC
865913,Jovem,17.0,2706.0,Branca,Inglês,"Sim, três",Sim
669613,Adulto,19.0,3314.5,Branca,Inglês,"Sim, um",Sim
1220758,Adulto,19.0,,Branca,Inglês,Não,Não
1215324,Jovem,18.0,2346.9,Preta,Espanhol,Não,Não
1174572,Adulto,21.0,2204.3999999999996,Parda,Espanhol,Não,Não
1112178,Jovem,18.0,,Branca,Espanhol,"Sim, um",Sim
324139,Jovem,17.0,2590.5,Branca,Inglês,Não,Sim
1003106,Adulto,20.0,2300.8,Parda,Espanhol,"Sim, um",Sim
645392,Jovem,17.0,1583.9,Parda,Espanhol,Não,Sim
255866,Jovem,17.0,2085.8,Branca,Inglês,Não,Sim
1030127,Adulto,23.0,2247.8,Parda,Espanhol,"Sim, um",Sim
908675,Jovem,18.0,2531.7,Indígena,Espanhol,Não,Sim
528371,Adulto,29.0,1876.8,Parda,Inglês,Não,Sim
581338,Jovem,18.0,2032.3000000000002,Não declarado,Inglês,Não,Sim
308322,Adulto,21.0,,Parda,Espanhol,Não,Não
978703,Adulto,19.0,2144.8,Branca,Espanhol,Não,Não
6011,Jovem,18.0,2936.6,Branca,Espanhol,Não,Não
220162,Jovem,18.0,2201.5,Preta,Espanhol,Não,Sim
1056140,Jovem,17.0,2830.6000000000004,Branca,Espanhol,"Sim, um",Sim
876451,Jovem,18.0,2334.9,Branca,Inglês,Não,Sim
1100455,Jovem,17.0,,Branca,Espanhol,Não,Sim
203634,Jovem,18.0,2217.8,Indígena,Espanhol,"Sim, um",Sim
535355,Jovem,18.0,2067.4,Parda,Espanhol,Não,Sim
824120,Jovem,17.0,2885.7,Branca,Espanhol,"Sim, um",Sim
920164,Jovem,18.0,2507.5,Branca,Inglês,"Sim, um",Sim
1061842,Jovem,18.0,2385.2,Parda,Inglês,Não,Sim
984566,Jovem,18.0,2700.0,Branca,Inglês,"Sim, um",Sim
466550,Jovem,18.0,2550.6,Parda,Espanhol,Não,Sim
769207,Jovem,17.0,2564.4,Parda,Inglês,Não,Sim
534118,Adulto,20.0,,Parda,Inglês,Não,Não
484250,Jovem,17.0,2557.2,Parda,Espanhol,Não,Sim
356926,Jovem,17.0,,Branca,Inglês,"Sim, um",Sim
813067,Jovem,18.0,2882.9,Branca,Espanhol,"Sim, um",Sim
370037,Jovem,18.0,2179.0,Branca,Espanhol,Não,Sim
250975,Jovem,17.0,2515.9,Parda,Inglês,Não,Não
247994,Jovem,18.0,3096.9,Preta,Espanhol,"Sim, um",Sim
1027014,Jovem,17.0,2714.3999999999996,Parda,Inglês,"Sim, um",Sim
728935,Jovem,18.0,2165.2,Parda,Inglês,Não,Sim
1163165,Jovem,18.0,3115.4,Branca,Inglês,"Sim, um",Sim
248468,Jovem,17.0,2336.6000000000004,Parda,Espanhol,Não,Não
983390,Jovem,18.0,2509.6,Preta,Inglês,Não,Não
200848,Jovem,18.0,2553.5,Preta,Espanhol,Não,Não
626595,Jovem,17.0,2410.2,Parda,Inglês,Não,Não
1038200,Jovem,17.0,,Branca,Inglês,"Sim, um",Sim
815097,Jovem,17.0,2167.3,Parda,Espanhol,"Sim, um",Sim
940671,Jovem,17.0,2793.8999999999996,Parda,Inglês,"Sim, um",Sim
540088,Jovem,17.0,2385.2,Parda,Inglês,"Sim, um",Sim
260737,Jovem,17.0,2871.9,Parda,Inglês,"Sim, dois",Sim
909344,Jovem,17.0,2467.6,Branca,Inglês,"Sim, dois",Sim
1160994,Jovem,17.0,2186.6,Branca,Inglês,"Sim, um",Sim
524107,Jovem,18.0,2277.7,Parda,Espanhol,Não,Não
1235042,Jovem,18.0,,Parda,Inglês,Não,Sim
1119773,Jovem,16.0,2251.9,Parda,Espanhol,Não,Não
695669,Adulto,19.0,,Parda,Espanhol,Não,Sim
83905,Jovem,17.0,2606.8,Parda,Inglês,Não,Sim
1117737,Jovem,17.0,2207.3,Branca,Espanhol,"Sim, três",Sim
1050331,Jovem,18.0,1991.1,Parda,Espanhol,"Sim, dois",Sim
1148198,Adulto,26.0,,Parda,Espanhol,Não,Não
662462,Jovem,18.0,2520.5,Parda,Espanhol,"Sim, um",Sim
457664,Jovem,18.0,1822.5,Parda,Espanhol,Não,Não
896034,Jovem,17.0,2809.1,Branca,Inglês,Não,Sim
575530,Jovem,17.0,2466.4,Branca,Inglês,"Sim, dois",Sim
724658,Adulto,19.0,,Parda,Inglês,Não,Sim
174281,Adulto,19.0,,Branca,Espanhol,Não,Não
1002763,Jovem,17.0,,Parda,Inglês,"Sim, um",Sim
1086418,Jovem,18.0,1486.9999999999998,Parda,Espanhol,Não,Não
326566,Jovem,17.0,2227.3999999999996,Parda,Espanhol,Não,Sim
824226,Jovem,18.0,2095.8,Parda,Inglês,"Sim, um",Sim
693337,Adulto,39.0,2170.6,Parda,Inglês,"Sim, um",Sim
1221676,Adulto,26.0,1928.3,Branca,Espanhol,Não,Sim
612179,Jovem,18.0,2307.7,Parda,Inglês,"Sim, dois",Sim
1140872,Jovem,18.0,2745.6,Branca,Inglês,"Sim, um",Sim
1222932,Jovem,18.0,2080.3,Branca,Espanhol,Não,Não
1111678,Adulto,20.0,,Branca,Espanhol,Não,Sim
126003,Jovem,17.0,2669.8999999999996,Parda,Inglês,Não,Não
457162,Jovem,18.0,1655.5,Branca,Espanhol,Não,Sim
103419,Jovem,18.0,2489.0,Preta,Espanhol,Não,Sim
920016,Adulto,19.0,,Não declarado,Espanhol,"Sim, um",Sim
1050324,Adulto,19.0,2265.7,Parda,Espanhol,Não,Não
106427,Jovem,17.0,2572.8,Parda,Inglês,Não,Sim
541218,Adulto,20.0,2148.5,Branca,Inglês,"Sim, um",Sim
1072998,Jovem,18.0,,Branca,Espanhol,"Sim, um",Sim
1144355,Jovem,17.0,,Parda,Inglês,Não,Sim
791283,Jovem,18.0,,Parda,Inglês,Não,Não
457221,Jovem,18.0,2131.2,Branca,Espanhol,Não,Não
310672,Jovem,17.0,2361.6000000000004,Branca,Espanhol,"Sim, um",Sim
96301,Jovem,17.0,2281.7,Branca,Inglês,Não,Não
774241,Jovem,17.0,2543.7,Parda,Espanhol,Não,Sim
896761,Jovem,17.0,2188.3,Branca,Inglês,"Sim, um",Sim
73773,Jovem,17.0,2344.1000000000004,Branca,Inglês,Não,Sim
550514,Jovem,17.0,2743.5,Branca,Inglês,"Sim, um",Sim
153146,Adulto,24.0,1685.6999999999998,Branca,Espanhol,Não,Não
1060621,Jovem,17.0,2950.7999999999997,Branca,Espanhol,Não,Não
358085,Jovem,17.0,2198.9,Parda,Espanhol,"Sim, um",Sim
1210318,Jovem,18.0,3088.0,Branca,Inglês,"Sim, dois",Sim
292569,Jovem,17.0,2842.8,Branca,Inglês,Não,Sim
869726,Jovem,17.0,2434.8,Branca,Espanhol,"Sim, um",Sim
891173,Jovem,17.0,2511.8,Parda,Inglês,"Sim, dois",Sim
549706,Jovem,17.0,2730.9,Parda,Espanhol,Não,Sim
367929,Jovem,18.0,,Branca,Inglês,"Sim, um",Sim
542685,Adulto,62.0,2302.1000000000004,Branca,Espanhol,"Sim, um",Sim
273723,Jovem,17.0,2634.0,Preta,Inglês,Não,Sim
9304,Jovem,17.0,2555.8,Branca,Inglês,"Sim, um",Sim
462123,Jovem,18.0,2867.5,Parda,Inglês,Não,Sim
1047346,Jovem,18.0,2760.9,Preta,Espanhol,Não,Não
828343,Jovem,17.0,2398.6,Parda,Espanhol,"Sim, um",Sim
533557,Jovem,17.0,,Parda,Inglês,"Sim, dois",Sim
252653,Jovem,17.0,2745.7,Branca,Inglês,"Sim, dois",Sim
48559,Jovem,17.0,2369.0,Parda,Espanhol,Não,Não
1001739,Jovem,17.0,2524.3,Branca,Inglês,Não,Sim
19580,Jovem,18.0,1629.1000000000001,Preta,Inglês,Não,Sim
121433,Jovem,17.0,,Preta,Espanhol,"Sim, um",Sim
553951,Jovem,17.0,2250.4,Parda,Inglês,"Sim, um",Sim
815486,Jovem,16.0,2618.7000000000003,Parda,Espanhol,Não,Não
69707,Jovem,17.0,2601.7,Branca,Espanhol,"Sim, um",Sim
247683,Jovem,17.0,2165.1000000000004,Parda,Espanhol,Não,Sim
452899,Jovem,18.0,2584.3999999999996,Branca,Inglês,"Sim, um",Sim
395662,Jovem,17.0,2754.5,Parda,Inglês,"Sim, um",Sim
726293,Jovem,17.0,2440.3,Branca,Espanhol,"Sim, um",Sim
577642,Adulto,35.0,,Parda,Espanhol,Não,Não
916913,Jovem,16.0,2441.1,Branca,Espanhol,Não,Sim
1159940,Jovem,17.0,2808.3,Branca,Inglês,"Sim, um",Sim
346090,Jovem,17.0,2070.5,Branca,Inglês,Não,Sim
675592,Jovem,17.0,,Parda,Inglês,Não,Não
846069,Jovem,18.0,,Branca,Inglês,Não,Sim
396513,Adulto,19.0,2022.5,Parda,Espanhol,Não,Sim
1176340,Jovem,17.0,2239.6000000000004,Branca,Espanhol,"Sim, um",Sim
752382,Adulto,20.0,,Preta,Inglês,Não,Sim
329020,Jovem,18.0,2326.2000000000003,Parda,Espanhol,Não,Não
287389,Jovem,17.0,2203.6,Preta,Inglês,Não,Sim
836893,Jovem,17.0,2642.1,Branca,Inglês,Não,Não
1084201,Jovem,18.0,,Branca,Espanhol,Não,Não
1005167,Jovem,18.0,2287.7,Parda,Espanhol,Não,Não
337486,Jovem,17.0,3374.5,Branca,Inglês,"Sim, um",Sim
550639,Jovem,17.0,2493.1,Branca,Espanhol,Não,Sim
781612,Jovem,17.0,1967.1,Branca,Inglês,Não,Sim
254201,Jovem,18.0,,Preta,Espanhol,Não,Sim
925183,Jovem,18.0,2290.7,Branca,Espanhol,"Sim, um",Sim
239779,Jovem,18.0,2521.2,Preta,Inglês,"Sim, um",Sim
701140,Jovem,17.0,,Preta,Espanhol,Não,Não
1239795,Jovem,17.0,2007.1,Parda,Espanhol,Não,Sim
494496,Adulto,44.0,,Preta,Espanhol,Não,Não
1138957,Jovem,17.0,1901.1,Branca,Inglês,"Sim, dois",Sim
940807,Jovem,18.0,2828.1,Parda,Espanhol,"Sim, um",Sim
1136036,Jovem,17.0,1980.6,Branca,Espanhol,Não,Não
978447,Jovem,16.0,2518.9,Parda,Espanhol,Não,Não
680633,Jovem,17.0,2513.9,Parda,Espanhol,"Sim, um",Sim
1039936,Jovem,17.0,2766.2,Parda,Espanhol,Não,Sim
654379,Jovem,17.0,2496.6,Branca,Inglês,Não,Não
556822,Jovem,18.0,1699.0,Parda,Espanhol,Não,Não
662976,Jovem,18.0,3280.9,Preta,Inglês,"Sim, um",Sim
924309,Adulto,19.0,2259.7,Branca,Inglês,Não,Sim
299832,Adulto,26.0,1761.8000000000002,Parda,Inglês,Não,Não
713446,Jovem,17.0,2266.9,Parda,Espanhol,Não,Sim
583443,Adulto,19.0,2337.8,Preta,Inglês,"Sim, um",Sim
544196,Jovem,17.0,2361.3,Branca,Espanhol,"Sim, um",Sim
373034,Jovem,17.0,2152.2,Parda,Inglês,"Sim, um",Sim
1026429,Jovem,17.0,,Branca,Inglês,Não,Sim
1153297,Adulto,19.0,,Parda,Espanhol,Não,Sim
387186,Jovem,17.0,,Branca,Espanhol,Não,Não
1244748,Adulto,21.0,,Branca,Inglês,"Sim, um",Sim
888059,Jovem,18.0,2231.5,Parda,Espanhol,"Sim, um",Sim
1044619,Jovem,17.0,2608.9,Parda,Inglês,"Sim, um",Sim
642798,Adulto,19.0,2426.4,Parda,Espanhol,"Sim, um",Sim
743220,Jovem,17.0,2800.7,Branca,Espanhol,"Sim, um",Sim
697454,Jovem,18.0,,Preta,Espanhol,Não,Sim
915509,Adulto,28.0,2133.9,Parda,Espanhol,Não,Sim
421827,Adulto,19.0,2357.7999999999997,Indígena,Inglês,"Sim, um",Sim
280855,Jovem,17.0,2334.6,Indígena,Inglês,"Sim, um",Sim
1071643,Jovem,18.0,2952.7,Branca,Espanhol,"Sim, um",Sim
1142453,Jovem,17.0,2174.5,Parda,Espanhol,Não,Não
501401,Jovem,17.0,3629.6,Branca,Inglês,"Sim, um",Sim
606415,Jovem,17.0,2817.9,Parda,Inglês,"Sim, um",Sim
859204,Jovem,18.0,,Branca,Espanhol,"Sim, um",Sim
362490,Adulto,19.0,2138.8,Parda,Espanhol,"Sim, três",Sim
1200827,Jovem,17.0,2415.5,Branca,Espanhol,Não,Sim
859284,Jovem,18.0,,Branca,Espanhol,"Sim, um",Sim
1179052,Jovem,17.0,2264.7,Parda,Espanhol,Não,Não
826622,Adulto,19.0,,Parda,Espanhol,Não,Sim
1012185,Jovem,18.0,,Branca,Espanhol,"Sim, um",Sim
101155,Jovem,18.0,2014.0,Parda,Espanhol,Não,Sim
26205,Jovem,18.0,2208.9,Parda,Inglês,Não,Sim
675242,Adulto,31.0,2124.1,Indígena,Espanhol,Não,Não
263554,Adulto,22.0,2426.8,Branca,Espanhol,Não,Sim
556714,Jovem,18.0,,Parda,Espanhol,Não,Não
673138,Adulto,19.0,2488.8999999999996,Branca,Inglês,Não,Sim
905570,Jovem,17.0,2053.7,Parda,Espanhol,Não,Não
301386,Jovem,17.0,2717.8,Parda,Inglês,"Sim, um",Sim
309507,Jovem,18.0,2461.8,Parda,Inglês,Não,Não
563357,Adulto,37.0,2213.9,Parda,Espanhol,Não,Sim
1125775,Jovem,18.0,2113.1,Preta,Espanhol,Não,Sim
764382,Jovem,17.0,2341.5,Parda,Espanhol,"Sim, um",Sim
217236,Jovem,17.0,2786.6,Parda,Espanhol,"Sim, um",Sim
851653,Jovem,17.0,2728.3999999999996,Parda,Inglês,Não,Sim
83235,Jovem,18.0,,Preta,Espanhol,Não,Sim
494203,Adulto,19.0,1969.0,Preta,Inglês,"Sim, um",Sim
550705,Jovem,17.0,3429.8,Preta,Inglês,"Sim, um",Sim
490877,Jovem,18.0,2953.2000000000003,Indígena,Inglês,"Sim, um",Sim
289003,Jovem,18.0,2293.2,Parda,Espanhol,Não,Não
346493,Jovem,18.0,3045.8,Parda,Inglês,Não,Sim
194127,Jovem,18.0,2499.6000000000004,Branca,Inglês,Não,Sim
1022082,Jovem,17.0,1790.3,Parda,Espanhol,Não,Sim
828529,Jovem,18.0,,Amarela,Espanhol,Não,Sim
323405,Adulto,20.0,2172.6,Parda,Inglês,Não,Não
716238,Jovem,17.0,2674.3,Parda,Espanhol,"Sim, um",Sim
483769,Jovem,18.0,2615.9,Preta,Inglês,Não,Sim
983417,Jovem,18.0,2267.7,Parda,Inglês,Não,Não
1200798,Jovem,17.0,2173.5,Branca,Espanhol,"Sim, um",Sim
720153,Adulto,19.0,2502.1,Parda,Inglês,Não,Não
135395,Jovem,17.0,2673.1000000000004,Parda,Espanhol,Não,Não
69622,Jovem,18.0,,Amarela,Inglês,Não,Sim
491527,Jovem,17.0,2053.6,Parda,Espanhol,"Sim, um",Sim
1081488,Jovem,17.0,2140.5,Parda,Inglês,"Sim, um",Não
174322,Jovem,18.0,2195.7,Branca,Espanhol,Não,Sim
886253,Jovem,17.0,2340.4,Parda,Espanhol,"Sim, um",Sim
391640,Jovem,17.0,,Preta,Inglês,"Sim, dois",Sim
782452,Jovem,18.0,1736.7,Parda,Espanhol,"Sim, um",Sim
425417,Jovem,17.0,1950.8,Parda,Espanhol,Não,Não
99913,Jovem,17.0,2654.2,Parda,Espanhol,Não,Sim
108440,Jovem,17.0,2889.3,Branca,Inglês,Não,Sim
436791,Jovem,17.0,2939.5,Parda,Espanhol,Não,Não
503244,Jovem,18.0,,Parda,Inglês,Não,Sim
1232792,Adulto,19.0,,Preta,Espanhol,Não,Sim
194591,Jovem,18.0,2710.0,Parda,Espanhol,"Sim, um",Sim
373291,Adulto,19.0,,Parda,Espanhol,Não,Não
1107742,Jovem,18.0,2261.3999999999996,Parda,Espanhol,Não,Sim
1019926,Jovem,17.0,2156.2,Parda,Espanhol,"Sim, um",Sim
1156757,Adulto,21.0,2619.9,Branca,Espanhol,Não,Sim
340562,Jovem,18.0,,Parda,Inglês,"Sim, um",Sim
208278,Jovem,18.0,2597.2,Parda,Inglês,"Sim, um",Sim
1185836,Jovem,18.0,2601.0,Amarela,Inglês,"Sim, um",Sim
241324,Jovem,18.0,3234.3,Branca,Inglês,"Sim, um",Sim
1084696,Jovem,18.0,2470.4,Parda,Espanhol,"Sim, um",Sim
221789,Jovem,18.0,2862.3,Parda,Inglês,"Sim, um",Sim
309202,Jovem,18.0,2660.7,Parda,Inglês,"Sim, um",Sim
237347,Jovem,17.0,2545.0,Branca,Inglês,"Sim, um",Sim
1011542,Jovem,18.0,,Preta,Espanhol,Não,Não
1052641,Jovem,18.0,,Branca,Inglês,"Sim, dois",Sim
428380,Jovem,18.0,2248.2,Parda,Inglês,Não,Sim
761995,Jovem,17.0,2772.7000000000003,Amarela,Espanhol,Não,Sim
184845,Adulto,19.0,2303.9,Parda,Inglês,Não,Não
115423,Jovem,17.0,2169.8,Branca,Espanhol,Não,Sim
1188197,Jovem,18.0,2250.6,Branca,Espanhol,Não,Não
1005534,Jovem,17.0,3045.2,Branca,Inglês,"Sim, um",Sim
481778,Jovem,17.0,2548.3,Parda,Inglês,Não,Sim
157328,Adulto,19.0,,Parda,Inglês,"Sim, dois",Sim
1154075,Jovem,17.0,2368.6,Branca,Espanhol,Não,Sim
315225,Jovem,18.0,3211.0,Parda,Inglês,"Sim, um",Sim
174478,Jovem,17.0,2817.9,Parda,Inglês,Não,Não
382699,Adulto,23.0,,Parda,Espanhol,"Sim, um",Sim
941571,Jovem,18.0,2850.3,Parda,Espanhol,Não,Sim
414354,Jovem,17.0,3046.7,Branca,Espanhol,"Sim, um",Sim
737008,Jovem,17.0,2207.2,Branca,Inglês,"Sim, um",Sim
1109195,Adulto,20.0,,Branca,Inglês,Não,Não
1150630,Jovem,18.0,2786.0,Branca,Espanhol,"Sim, um",Sim
609078,Jovem,18.0,2458.9,Preta,Inglês,Não,Não
905134,Jovem,17.0,1859.2,Branca,Espanhol,"Sim, um",Não
317849,Adulto,20.0,,Preta,Inglês,Não,Sim
933282,Jovem,17.0,3188.8,Parda,Espanhol,"Sim, um",Sim
115319,Adulto,20.0,2100.6,Parda,Espanhol,Não,Não
795277,Jovem,17.0,2359.1000000000004,Branca,Espanhol,"Sim, um",Sim
294786,Jovem,18.0,2834.5,Parda,Inglês,"Sim, um",Sim
1157310,Jovem,17.0,2672.8,Branca,Inglês,"Sim, um",Sim
508719,Jovem,17.0,2401.1,Parda,Espanhol,Não,Não
422753,Jovem,17.0,2109.8,Preta,Espanhol,Não,Não
841176,Adulto,20.0,,Indígena,Espanhol,Não,Não
682425,Jovem,18.0,2832.2,Preta,Espanhol,Não,Não
1211116,Adulto,19.0,,Preta,Espanhol,"Sim, um",Sim
1008126,Jovem,18.0,2856.7,Branca,Inglês,"Sim, um",Sim
792210,Adulto,19.0,2660.8,Parda,Inglês,Não,Sim
878933,Jovem,16.0,2705.2,Preta,Inglês,"Sim, um",Sim
1127371,Jovem,18.0,2454.3,Parda,Inglês,Não,Não
254088,Jovem,18.0,2771.0,Parda,Espanhol,"Sim, um",Sim
918653,Jovem,18.0,2516.6,Parda,Espanhol,Não,Sim
803589,Jovem,18.0,2528.5,Parda,Espanhol,"Sim, um",Sim
354528,Jovem,17.0,2982.6,Branca,Inglês,"Sim, um",Sim
580483,Jovem,18.0,2465.2,Parda,Espanhol,Não,Não
598070,Jovem,18.0,2361.3,Parda,Inglês,"Sim, dois",Sim
70360,Jovem,18.0,2561.8,Parda,Espanhol,Não,Sim
271345,Jovem,18.0,2510.5,Preta,Espanhol,"Sim, um",Sim
275197,Jovem,18.0,2706.0,Preta,Inglês,"Sim, um",Sim
1207620,Jovem,18.0,2062.9,Branca,Espanhol,"Sim, um",Sim
196666,Jovem,17.0,3170.0,Branca,Inglês,"Sim, um",Sim
665887,Jovem,18.0,3401.7,Branca,Inglês,"Sim, um",Sim
623846,Jovem,18.0,2144.7000000000003,Preta,Espanhol,Não,Não
142751,Adulto,21.0,2756.0,Branca,Inglês,Não,Sim
758976,Jovem,18.0,,Branca,Espanhol,Não,Sim
103080,Adulto,19.0,2380.7000000000003,Parda,Inglês,Não,Sim
698959,Jovem,17.0,2165.7,Parda,Espanhol,Não,Sim
900615,Jovem,18.0,,Parda,Inglês,Não,Sim
861831,Jovem,17.0,2880.0,Preta,Inglês,"Sim, um",Sim
102648,Jovem,17.0,3184.0,Parda,Inglês,Não,Sim
260273,Jovem,18.0,2247.7,Parda,Espanhol,"Sim, um",Sim
87975,Jovem,17.0,2770.2,Branca,Inglês,"Sim, um",Sim
231138,Jovem,16.0,2943.3,Parda,Inglês,"Sim, um",Sim
920707,Jovem,17.0,2363.2,Parda,Espanhol,"Sim, um",Sim
1200298,Jovem,17.0,2933.0,Preta,Inglês,"Sim, dois",Sim
1072294,Jovem,18.0,2426.3999999999996,Preta,Espanhol,Não,Sim
382483,Jovem,17.0,,Branca,Espanhol,Não,Sim
1114542,Jovem,17.0,2420.3,Branca,Inglês,Não,Sim
261935,Jovem,18.0,2615.5,Branca,Inglês,"Sim, um",Sim
842106,Jovem,17.0,2185.0,Parda,Espanhol,Não,Não
312406,Jovem,17.0,2549.7,Branca,Espanhol,Não,Não
413643,Jovem,17.0,2316.7,Parda,Espanhol,Não,Não
443516,Adulto,42.0,1965.4,Parda,Espanhol,"Sim, um",Sim
441734,Adulto,20.0,2044.4,Parda,Inglês,Não,Sim
502381,Adulto,20.0,,Branca,Espanhol,Não,Sim
45905,Jovem,18.0,,Preta,Inglês,"Sim, um",Sim
1178498,Jovem,18.0,2505.0,Parda,Espanhol,"Sim, um",Sim
1130684,Jovem,18.0,2542.7000000000003,Branca,Inglês,"Sim, um",Sim
234420,Jovem,17.0,3030.4,Parda,Inglês,"Sim, um",Sim
197672,Jovem,17.0,2220.5,Parda,Espanhol,"Sim, um",Sim
892732,Jovem,17.0,,Branca,Inglês,Não,Sim
919700,Jovem,18.0,2821.3,Preta,Inglês,"Sim, um",Sim
524973,Jovem,17.0,,Parda,Espanhol,Não,Não
1152430,Adulto,24.0,,Branca,Espanhol,Não,Não
248236,Jovem,18.0,1859.8999999999999,Parda,Inglês,"Sim, um",Sim
51675,Jovem,17.0,3266.3,Branca,Espanhol,Não,Sim
70535,Jovem,18.0,2740.3,Branca,Inglês,"Sim, um",Sim
610366,Jovem,17.0,3367.8,Preta,Espanhol,"Sim, um",Sim
1222468,Jovem,17.0,2443.8,Não declarado,Inglês,"Sim, um",Sim
177394,Jovem,17.0,2794.1000000000004,Branca,Inglês,Não,Sim
36601,Jovem,17.0,2300.4,Parda,Inglês,"Sim, um",Sim
374256,Adulto,19.0,,Parda,Espanhol,Não,Sim
541600,Adulto,19.0,3124.1,Parda,Inglês,"Sim, um",Sim
973200,Jovem,17.0,,Parda,Inglês,"Sim, um",Sim
1153464,Adulto,20.0,,Preta,Espanhol,Não,Não
137375,Jovem,17.0,2774.5,Parda,Espanhol,Não,Não
646839,Jovem,18.0,2706.5,Parda,Espanhol,"Sim, um",Sim
73627,Jovem,18.0,2815.7,Branca,Espanhol,"Sim, um",Sim
514171,Jovem,17.0,3172.6,Branca,Inglês,"Sim, dois",Sim
388374,Jovem,18.0,3024.0,Parda,Espanhol,"Sim, um",Não
102485,Adulto,19.0,2952.3,Parda,Inglês,"Sim, um",Sim
930978,Jovem,16.0,2437.1,Amarela,Espanhol,"Sim, dois",Sim
1131851,Adulto,19.0,2062.1,Parda,Inglês,"Sim, um",Sim
599215,Jovem,17.0,,Parda,Inglês,Não,Sim
210009,Jovem,18.0,2443.3999999999996,Parda,Inglês,Não,Não
27061,Adulto,20.0,2148.5,Parda,Inglês,Não,Sim
809700,Adulto,19.0,2238.3,Preta,Inglês,Não,Não
276081,Jovem,18.0,2649.7,Parda,Inglês,Não,Não
1027729,Adulto,21.0,,Parda,Espanhol,Não,Não
882414,Adulto,22.0,2082.5,Preta,Inglês,Não,Sim
760806,Jovem,18.0,2610.6000000000004,Parda,Espanhol,Não,Sim
958658,Jovem,17.0,1755.4,Parda,Inglês,"Sim, um",Sim
266991,Adulto,20.0,,Preta,Espanhol,"Sim, um",Sim
640683,Jovem,18.0,,Preta,Espanhol,Não,Sim
64379,Adulto,19.0,2726.1,Parda,Inglês,"Sim, um",Sim
54210,Adulto,24.0,,Parda,Espanhol,Não,Não
1211904,Jovem,17.0,2017.4,Parda,Inglês,Não,Não
578917,Jovem,17.0,2458.5,Preta,Espanhol,Não,Sim
769718,Jovem,17.0,2444.3,Parda,Inglês,Não,Sim
746238,Adulto,19.0,,Parda,Espanhol,Não,Não
266865,Jovem,18.0,2243.0,Parda,Inglês,Não,Sim
1152502,Jovem,14.0,2513.2,Parda,Espanhol,"Sim, um",Sim
1043265,Jovem,18.0,2163.2,Parda,Espanhol,Não,Não
824706,Jovem,17.0,2247.0,Preta,Inglês,"Sim, um",Não
970571,Jovem,18.0,2429.3,Parda,Espanhol,Não,Não
1051026,Jovem,17.0,2013.2,Parda,Inglês,"Sim, um",Sim
40696,Jovem,17.0,,Parda,Espanhol,Não,Não
1215873,Jovem,18.0,1887.3999999999999,Parda,Inglês,Não,Sim
639849,Adulto,20.0,,Parda,Espanhol,"Sim, um",Sim
89498,Adulto,19.0,2079.3,Branca,Espanhol,Não,Sim
246753,Jovem,17.0,2769.7,Parda,Espanhol,Não,Sim
463074,Jovem,18.0,2676.1,Branca,Espanhol,"Sim, um",Sim
1135077,Adulto,20.0,,Preta,Espanhol,Não,Não
1168494,Jovem,17.0,1650.3,Preta,Espanhol,Não,Não
497926,Jovem,17.0,2570.2999999999997,Branca,Espanhol,"Sim, um",Sim
114439,Jovem,17.0,2666.1,Parda,Inglês,Não,Sim
1071768,Jovem,18.0,2110.4,Branca,Espanhol,Não,Não
856613,Jovem,18.0,2142.0,Parda,Espanhol,Não,Sim
211779,Jovem,18.0,,Parda,Espanhol,Não,Não
1215005,Adulto,22.0,,Parda,Inglês,Não,Não
1204655,Adulto,24.0,,Branca,Espanhol,Não,Sim
315181,Jovem,16.0,2405.5,Amarela,Espanhol,"Sim, um",Sim
1134990,Adulto,19.0,2318.8,Parda,Espanhol,Não,Não
667907,Jovem,17.0,2288.1,Branca,Inglês,"Sim, um",Sim
925649,Adulto,21.0,2069.7,Preta,Espanhol,Não,Não
829991,Jovem,18.0,,Branca,Espanhol,Não,Não
841742,Jovem,17.0,,Branca,Inglês,Não,Não
232586,Adulto,19.0,2194.9,Parda,Inglês,Não,Não
418750,Jovem,18.0,2141.1,Parda,Espanhol,Não,Não
1106392,Jovem,17.0,2162.3,Branca,Inglês,Não,Não
951369,Jovem,18.0,2536.5,Branca,Espanhol,"Sim, um",Sim
927680,Jovem,18.0,2506.0,Branca,Inglês,"Sim, um",Sim
108670,Jovem,18.0,2449.7000000000003,Não declarado,Inglês,Não,Sim
36661,Jovem,18.0,3096.3,Parda,Inglês,"Sim, dois",Sim
950891,Adulto,19.0,2930.5,Indígena,Inglês,"Sim, um",Sim
751413,Jovem,18.0,2694.1,Preta,Inglês,"Sim, um",Sim
820655,Jovem,18.0,2471.6000000000004,Preta,Espanhol,"Sim, um",Não
1226941,Adulto,20.0,2044.1,Parda,Espanhol,Não,Sim
688636,Jovem,17.0,3136.8,Parda,Espanhol,Não,Sim
785276,Jovem,17.0,2672.8,Branca,Espanhol,"Sim, um",Sim
187459,Jovem,18.0,2491.7,Branca,Inglês,"Sim, um",Sim
960246,Jovem,18.0,1664.1999999999998,Parda,Inglês,Não,Sim
506045,Adulto,34.0,,Preta,Espanhol,Não,Não
214629,Jovem,18.0,2859.9,Parda,Espanhol,"Sim, um",Sim
810996,Adulto,19.0,,Parda,Espanhol,Não,Não
175924,Jovem,17.0,2302.7,Branca,Inglês,"Sim, um",Sim
