,ADULTO,NU_IDADE,NOTA_TOTAL,TP_COR_RACA_DESC,TP_LINGUA_DESC,Q024_DESC,Q025_DESC
838731,Adulto,19.0,,Preta,Espanhol,Não,Sim
1240749,Jovem,18.0,,Parda,Inglês,"Sim, um",Sim
880052,Jovem,17.0,2466.2,Branca,Espanhol,"Sim, um",Sim
604554,Jovem,16.0,,Parda,Espanhol,"Sim, um",Sim
3275,Jovem,17.0,2257.6,Branca,Espanhol,"Sim, um",Sim
45162,Jovem,17.0,2387.1,Parda,Espanhol,"Sim, um",Sim
992634,Adulto,27.0,2730.1,Branca,Espanhol,"Sim, um",Sim
852369,Jovem,18.0,,Parda,Inglês,"Sim, dois",Sim
562200,Jovem,17.0,2694.1,Preta,Inglês,Não,Sim
769021,Adulto,19.0,2641.1000000000004,Branca,Inglês,"Sim, um",Sim
318442,Jovem,17.0,2619.9,Parda,Inglês,"Sim, um",Sim
417499,Jovem,18.0,2421.8,Branca,Espanhol,"Sim, um",Sim
60166,Jovem,17.0,2632.5,Parda,Espanhol,"Sim, um",Sim
1166275,Jovem,18.0,,Parda,Espanhol,"Sim, um",Sim
251022,Jovem,18.0,2345.1,Branca,Inglês,Não,Sim
273314,Jovem,18.0,2986.1,Branca,Espanhol,"Sim, um",Sim
1200050,Jovem,17.0,,Branca,Inglês,Não,Não
514335,Jovem,18.0,,Parda,Espanhol,Não,Sim
117346,Jovem,17.0,,Amarela,Espanhol,Não,Sim
22494,Jovem,17.0,2523.8,Parda,Espanhol,Não,Não
1181541,Adulto,43.0,,Parda,Inglês,"Sim, um",Sim
383902,Jovem,17.0,3078.7,Parda,Inglês,Não,Não
891666,Jovem,18.0,2214.3,Preta,Inglês,"Sim, um",Sim
184585,Jovem,17.0,2585.8,Parda,Inglês,Não,Sim
924455,Jovem,17.0,,Parda,Inglês,Não,Sim
693461,Jovem,18.0,2459.1,Parda,Inglês,Não,Sim
1072040,Jovem,17.0,1652.7,Parda,Espanhol,Não,Não
1162892,Jovem,17.0,,Parda,Espanhol,"Sim, um",Não
737122,Jovem,18.0,3157.3999999999996,Branca,Inglês,"Sim, um",Sim
14657,Adulto,19.0,,Branca,Espanhol,Não,Sim
102005,Jovem,17.0,2456.3,Parda,Inglês,"Sim, dois",Sim
234222,Jovem,17.0,,Parda,Espanhol,"Sim, um",Sim
273612,Jovem,18.0,3001.9,Parda,Inglês,Não,Sim
580735,Jovem,18.0,2327.8,Preta,Inglês,Não,Sim
65020,Jovem,18.0,2522.4,Preta,Espanhol,Não,Sim
610271,Adulto,23.0,1572.0,Parda,Espanhol,Não,Sim
1214025,Adulto,31.0,,Parda,Inglês,"Sim, um",Sim
18113,Jovem,18.0,2160.7,Parda,Inglês,Não,Não
1120234,Jovem,18.0,2208.1000000000004,Parda,Espanhol,Não,Não
434929,Jovem,17.0,,Branca,Espanhol,"Sim, um",Sim
183813,Jovem,18.0,2996.7999999999997,Preta,Espanhol,"Sim, um",Sim
1229155,Jovem,17.0,,Parda,Inglês,Não,Não
245122,Jovem,18.0,2749.8999999999996,Branca,Espanhol,"Sim, um",Sim
830933,Jovem,17.0,2443.0,Parda,Espanhol,"Sim, um",Sim
214993,Jovem,18.0,2627.8,Parda,Inglês,"Sim, um",Sim
671407,Jovem,17.0,2648.4,Parda,Espanhol,Não,Sim
460261,Jovem,17.0,1854.4,Branca,Espanhol,Não,Sim
473459,Jovem,18.0,2804.2,Branca,Inglês,Não,Sim
20245,Jovem,17.0,2414.1,Parda,Inglês,"Sim, um",Sim
675038,Adulto,20.0,,Branca,Inglês,Não,Sim
1021550,Jovem,17.0,2878.1,Amarela,Espanhol,"Sim, um",Sim
511420,Adulto,19.0,2604.4,Parda,Inglês,Não,Sim
