NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190004360593,2019,3304557,Rio de Janeiro,33,RJ,25,F,1,3,1,3304557.0,Rio de Janeiro,33.0,RJ,1,7,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304557,Rio de Janeiro,33,RJ,1,1,1,1,506.0,508.0,512.0,517.0,514.7,544.3,516.5,360.6,EDADCBDBACAACDBBDCBDABBAABABDEBBCDAABAEEDDCAB,ABCBAAADCECECCABECBEEABBBDBEEDECBBCBBDADEACAB,99999.....CEBBDECACDCDDEDEDABAEBBBEABDEDECEECACBBA,EDBBCCCBACAEBDDCBCCBDBEDCDCACCBBDDBADDBDCBCBB,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,160.0,120.0,120.0,140.0,160.0,700.0,E,E,B,C,5,D,A,B,C,A,A,B,A,B,B,A,A,A,B,A,A,C,B,B,B
190002781010,2019,2413409,Serra Negra do Norte,24,RN,21,F,1,2,1,2413409.0,Serra Negra do Norte,24.0,RN,1,2,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402006,Caicó,24,RN,1,1,1,1,503.0,509.0,514.0,515.0,434.7,396.3,441.5,392.6,CEABEDBECEABADACBAAECCABDCDBDBADABEBBDCCEBECB,CDECDCCEDADBAAEDDACADBCCBEDEACCCDCBDAEBBDBCAC,ABADE99999BEBDDDCACBBDBDBEEEDCAECDACCEDEDECECEEBEC,EBADEDDAEADDDBEADBDEDCBEBEBDEEBCBDCCAEEDEBDBE,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,100.0,120.0,120.0,120.0,120.0,580.0,H,C,F,B,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
190001859129,2019,4124301,Santo Antônio do Paraíso,41,PR,16,M,1,1,1,4124301.0,Santo Antônio do Paraíso,41.0,PR,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106407,Cornélio Procópio,41,PR,1,1,1,1,506.0,508.0,512.0,517.0,542.4,476.1,444.9,436.0,ADDDCBDDECACBEEBACDEABBAAEABEEDBCBBDBACECECEB,CBCABCEDCACADCADCBBAEDDBEAAEEBBAEEECCEBABBACC,ABEBA99999EEDBCEACCDACEDABBCADCBCBDBDECECCDACADEDB,BBEBACECACABADDCABEBADDBDCECBEDDAEAAECCCCCCEE,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,100.0,40.0,40.0,100.0,0.0,280.0,E,E,C,B,4,C,A,B,D,B,B,B,B,B,B,B,A,A,B,A,A,D,A,A,B
190001137421,2019,2307304,Juazeiro do Norte,23,CE,17,F,1,3,1,2301901.0,Barbalha,23.0,CE,2,0,2,1.0,0,23236469.0,2307304.0,Juazeiro do Norte,23.0,CE,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307304,Juazeiro do Norte,23,CE,1,1,1,1,503.0,509.0,514.0,515.0,565.4,593.0,561.8,510.6,DBDEDCDEBDCBBDEBBBEDEEDEDBCEBBCEEDEAAEBEBDABC,CCBCEEECDBAACDBBBCCABBAABEAAECECBDBBCEDBAEEDC,99999CBBDADCCCDDEDEBAAADEEBEDEBBABBDCCDAEDCBABCECE,CDBADDCCAEDBCBABCCABBADCBACEEEDCEDCABADCDEDAE,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,140.0,140.0,120.0,140.0,140.0,680.0,E,B,C,B,4,C,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,C,A,A,A
190004402094,2019,2700300,Arapiraca,27,AL,16,F,1,0,1,2700300.0,Arapiraca,27.0,AL,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700300,Arapiraca,27,AL,1,1,1,1,505.0,507.0,511.0,518.0,404.9,577.6,560.6,607.9,AECBBABDDDDDCACBEDEDCCCBABADABBBDABBDCDDDBCED,EEECDBABABDCABAEECCACACAEDBEAABCBEDDBDEBEABCE,99999EBAAEDCDBCDDAEEDACECBAEBEDCDCCDEBDAADDEADCCEE,DDACABCCCDEDEEDECCBABCEBEBCEBDACAACDCDEDBEDDB,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,120.0,140.0,120.0,120.0,620.0,E,G,D,D,4,H,A,B,D,B,B,B,A,B,A,B,A,A,B,A,A,E,A,A,B
190001118698,2019,2100055,Açailândia,21,MA,16,F,1,3,1,2100055.0,Açailândia,21.0,MA,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100055,Açailândia,21,MA,1,0,0,1,505.0,,,518.0,416.1,,,385.6,CAABBAEDABDEBACBEADBACEBEA*AEBCEBCEADDDDCAAEE,,,EACCABCCAAECEDCDCBBACAECBCDBEAACCEDDBCEEADEDD,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,,,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,,,,,,,,C,E,A,A,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
190005315008,2019,3549904,São José dos Campos,35,SP,16,F,1,1,1,3549904.0,São José dos Campos,35.0,SP,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549904,São José dos Campos,35,SP,0,1,1,0,,510.0,513.0,,,518.4,536.2,,,BECEEEDEACBDBBABECDABAEABBBECEADABBBADEEBBACB,ABBCE99999DBBABBCCCEECDEEDDDBCAEDEDCDBBEECCCBAECCC,,0,,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,,1.0,120.0,40.0,40.0,100.0,40.0,340.0,E,F,B,D,4,B,A,E,E,B,A,C,A,B,A,B,A,B,B,B,A,D,A,C,B
190001319593,2019,3169604,Tupaciguara,31,MG,21,F,1,3,1,3112604.0,Capinópolis,31.0,MG,1,2,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134202,Ituiutaba,31,MG,1,1,1,1,504.0,509.0,514.0,516.0,518.5,422.9,517.9,449.7,AEDEEDBCECDDBECCBABDACDADACCDEEDCCCCEDEBDACEB,AEAECBACBAEBACEEDAABABBEDBEEDCAAEABAAADABABED,ABECD99999ABCEBECABBDAADADEBAECAAAAAADEAACCECCBEDC,CBABCBACCEBACEAABDEDDECCBAADCBDCBBEBBEDDCAADB,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,120.0,100.0,0.0,460.0,A,B,A,B,5,C,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B
190003220149,2019,1500800,Ananindeua,15,PA,16,F,1,3,1,1501402.0,Belém,15.0,PA,2,0,2,1.0,0,15581926.0,1500800.0,Ananindeua,15.0,PA,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500800,Ananindeua,15,PA,1,1,1,1,504.0,510.0,513.0,516.0,487.1,528.1,496.2,444.5,CACAEDDBEDEDDCEABECDABCBDDABCEBBCADEAEBBBABEB,EBDCEEDEBCBCDBBBCBBDEDEDCDBBECCADAEDCADBBCDDD,99999ECBBAAABAADCAEEABDBEEAADABACCAACEAAEDEEBCACDC,CAAEDDBEBDDCBABCDDBCBDADCCBAABDCDDBBCDBBBDBDB,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,120.0,140.0,100.0,600.0,D,E,B,B,3,E,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B
190003647450,2019,3516408,Franco da Rocha,35,SP,25,F,1,3,1,3516408.0,Franco da Rocha,35.0,SP,1,8,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3516408,Franco da Rocha,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,D,B,B,5,C,A,B,C,B,A,B,A,B,A,B,A,B,B,A,A,B,B,B,B
